unit,cycle,setting1,setting2,setting3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21
5,40,-0.0002,-0.0002,100.0,518.67,642.87,1590.26,1410.03,14.62,21.61,553.11,2388.15,9056.62,1.30,47.35,521.87,2388.16,8131.90,8.4385,0.03,394,2388,100.00,38.81,23.2415
5,41,-0.0043,-0.0002,100.0,518.67,642.75,1591.26,1410.14,14.62,21.61,552.87,2388.14,9050.45,1.30,47.49,521.93,2388.06,8129.93,8.4413,0.03,392,2388,100.00,38.65,23.3074
5,42,-0.0027,0.0003,100.0,518.67,643.06,1586.00,1406.52,14.62,21.61,553.83,2388.11,9053.50,1.30,47.70,521.58,2388.17,8133.49,8.4256,0.03,394,2388,100.00,38.66,23.1971
5,43,-0.0008,-0.0002,100.0,518.67,642.99,1593.83,1409.29,14.62,21.61,553.87,2388.03,9049.71,1.30,47.52,521.40,2388.09,8131.86,8.3980,0.03,393,2388,100.00,38.88,23.2903
5,44,-0.0013,-0.0005,100.0,518.67,642.66,1591.00,1407.60,14.62,21.61,553.01,2388.11,9055.38,1.30,47.53,521.49,2388.12,8134.60,8.4526,0.03,393,2388,100.00,38.72,23.3342
5,45,0.0042,-0.0002,100.0,518.67,642.45,1592.06,1396.40,14.62,21.61,552.98,2388.09,9054.62,1.30,47.52,522.05,2388.07,8131.65,8.3951,0.03,391,2388,100.00,38.79,23.1943
5,46,0.0012,-0.0003,100.0,518.67,642.79,1588.79,1404.52,14.62,21.61,553.09,2388.09,9053.08,1.30,47.44,521.70,2388.08,8133.22,8.3975,0.03,393,2388,100.00,38.67,23.2348
5,47,-0.0004,-0.0002,100.0,518.67,642.74,1589.16,1411.95,14.62,21.61,553.59,2388.11,9054.31,1.30,47.67,521.34,2388.05,8131.34,8.4344,0.03,393,2388,100.00,38.82,23.2860
5,48,0.0009,-0.0001,100.0,518.67,643.18,1592.54,1402.93,14.62,21.61,553.79,2388.12,9055.95,1.30,47.58,521.88,2388.11,8135.44,8.4455,0.03,392,2388,100.00,38.91,23.2750
5,49,0.0041,-0.0003,100.0,518.67,642.21,1595.65,1411.68,14.62,21.61,553.54,2388.10,9050.94,1.30,47.51,521.61,2388.12,8135.15,8.4619,0.03,393,2388,100.00,38.83,23.3304
5,50,0.0030,-0.0004,100.0,518.67,642.33,1591.74,1411.02,14.62,21.61,553.27,2388.10,9049.65,1.30,47.54,521.74,2388.10,8124.80,8.4556,0.03,392,2388,100.00,38.90,23.3874
5,51,-0.0011,-0.0000,100.0,518.67,642.93,1589.56,1406.62,14.62,21.61,553.30,2388.13,9051.91,1.30,47.46,521.57,2388.11,8132.02,8.4547,0.03,392,2388,100.00,38.90,23.2899
5,52,0.0020,0.0002,100.0,518.67,642.48,1587.60,1402.85,14.62,21.61,553.28,2388.12,9055.18,1.30,47.33,521.49,2388.11,8128.70,8.4377,0.03,393,2388,100.00,38.92,23.3024
5,53,0.0013,-0.0000,100.0,518.67,642.25,1594.80,1407.66,14.62,21.61,553.49,2388.07,9055.09,1.30,47.54,521.50,2388.09,8131.33,8.4475,0.03,392,2388,100.00,38.78,23.2591
5,54,0.0010,0.0001,100.0,518.67,642.57,1586.73,1403.87,14.62,21.61,553.19,2388.11,9052.16,1.30,47.32,521.74,2388.12,8130.17,8.4224,0.03,392,2388,100.00,38.78,23.2951
5,55,-0.0007,0.0004,100.0,518.67,643.00,1590.08,1407.59,14.62,21.61,553.15,2388.18,9049.17,1.30,47.59,521.44,2388.17,8129.85,8.4463,0.03,394,2388,100.00,38.96,23.1866
5,56,-0.0009,-0.0002,100.0,518.67,642.76,1584.71,1403.81,14.62,21.61,553.40,2388.08,9055.31,1.30,47.41,521.69,2388.12,8131.93,8.4274,0.03,394,2388,100.00,38.83,23.3560
5,57,-0.0020,-0.0003,100.0,518.67,642.25,1582.23,1412.64,14.62,21.61,553.58,2388.11,9056.50,1.30,47.33,521.66,2388.08,8130.76,8.4243,0.03,392,2388,100.00,38.84,23.3502
5,58,0.0002,0.0000,100.0,518.67,642.63,1588.24,1410.65,14.62,21.61,553.44,2388.11,9052.23,1.30,47.47,521.41,2388.10,8134.02,8.4557,0.03,393,2388,100.00,38.71,23.2976
5,59,0.0015,-0.0004,100.0,518.67,642.64,1594.93,1401.54,14.62,21.61,554.22,2388.16,9055.15,1.30,47.57,520.91,2388.08,8132.72,8.4174,0.03,394,2388,100.00,39.03,23.3157
5,60,0.0014,-0.0004,100.0,518.67,642.90,1581.39,1403.83,14.62,21.61,553.57,2388.12,9053.87,1.30,47.50,521.77,2388.14,8136.75,8.4244,0.03,394,2388,100.00,39.01,23.2737
5,61,-0.0025,-0.0002,100.0,518.67,641.99,1577.71,1407.17,14.62,21.61,553.36,2388.13,9051.88,1.30,47.40,521.51,2388.11,8131.53,8.4530,0.03,393,2388,100.00,38.84,23.2086
5,62,0.0010,0.0001,100.0,518.67,642.79,1598.65,1411.50,14.62,21.61,552.96,2388.12,9054.42,1.30,47.61,521.33,2388.13,8133.67,8.4278,0.03,393,2388,100.00,38.98,23.3080
5,63,-0.0024,-0.0001,100.0,518.67,642.34,1584.26,1409.25,14.62,21.61,554.47,2388.12,9056.58,1.30,47.39,521.16,2388.19,8127.74,8.4506,0.03,393,2388,100.00,38.83,23.2752
5,64,0.0012,-0.0003,100.0,518.67,643.00,1593.07,1409.28,14.62,21.61,553.44,2388.11,9054.40,1.30,47.57,521.40,2388.13,8132.83,8.4067,0.03,392,2388,100.00,38.72,23.2646
5,65,0.0010,0.0005,100.0,518.67,642.58,1585.72,1404.07,14.62,21.61,553.34,2388.10,9053.18,1.30,47.49,521.59,2388.08,8127.28,8.4079,0.03,393,2388,100.00,38.81,23.3769
5,66,-0.0004,-0.0001,100.0,518.67,642.79,1595.70,1415.07,14.62,21.61,553.42,2388.08,9051.46,1.30,47.43,521.36,2388.12,8135.82,8.4331,0.03,392,2388,100.00,38.93,23.3222
5,67,-0.0048,0.0001,100.0,518.67,642.58,1586.59,1410.29,14.62,21.61,553.20,2388.10,9058.17,1.30,47.53,521.75,2388.06,8128.16,8.4509,0.03,394,2388,100.00,38.89,23.2904
5,68,-0.0017,-0.0002,100.0,518.67,642.90,1583.33,1413.17,14.62,21.61,553.86,2388.13,9053.78,1.30,47.60,521.08,2388.11,8131.52,8.4320,0.03,394,2388,100.00,38.89,23.2600
5,69,0.0023,-0.0004,100.0,518.67,642.58,1595.41,1408.83,14.62,21.61,553.09,2388.11,9051.23,1.30,47.52,521.71,2388.11,8127.30,8.4626,0.03,394,2388,100.00,38.74,23.2907
5,70,0.0014,-0.0003,100.0,518.67,642.41,1584.23,1402.19,14.62,21.61,553.26,2388.05,9051.30,1.30,47.75,521.78,2388.11,8133.68,8.4678,0.03,393,2388,100.00,38.74,23.2982
5,71,-0.0031,-0.0004,100.0,518.67,643.11,1587.40,1401.66,14.62,21.61,553.34,2388.19,9057.88,1.30,47.59,521.62,2388.12,8133.88,8.4428,0.03,394,2388,100.00,38.70,23.2186
5,72,-0.0016,0.0001,100.0,518.67,642.37,1589.65,1407.22,14.62,21.61,553.03,2388.12,9048.75,1.30,47.50,520.85,2388.12,8132.98,8.4189,0.03,393,2388,100.00,38.80,23.3263
5,73,-0.0039,0.0003,100.0,518.67,642.86,1596.15,1405.19,14.62,21.61,553.83,2388.09,9056.12,1.30,47.54,521.31,2388.06,8131.40,8.3881,0.03,392,2388,100.00,38.76,23.2825
5,74,-0.0001,-0.0000,100.0,518.67,643.03,1591.81,1416.10,14.62,21.61,553.22,2388.16,9058.14,1.30,47.76,521.40,2388.15,8137.40,8.4450,0.03,393,2388,100.00,38.70,23.3418
5,75,0.0008,-0.0004,100.0,518.67,642.68,1591.23,1412.91,14.62,21.61,553.40,2388.07,9054.03,1.30,47.60,521.69,2388.11,8127.10,8.4466,0.03,393,2388,100.00,38.88,23.3048
5,76,0.0030,-0.0003,100.0,518.67,642.02,1587.58,1410.89,14.62,21.61,553.04,2388.12,9052.97,1.30,47.63,521.46,2388.11,8132.55,8.4374,0.03,393,2388,100.00,38.67,23.2667
5,77,-0.0007,0.0003,100.0,518.67,642.55,1586.27,1405.68,14.62,21.61,554.10,2388.18,9045.89,1.30,47.68,521.69,2388.13,8130.66,8.4740,0.03,392,2388,100.00,38.89,23.3508
5,78,-0.0024,-0.0004,100.0,518.67,642.40,1588.24,1408.74,14.62,21.61,552.78,2388.09,9043.09,1.30,47.58,521.62,2388.14,8129.95,8.4237,0.03,392,2388,100.00,38.97,23.1936
5,79,0.0019,-0.0002,100.0,518.67,642.54,1592.13,1409.09,14.62,21.61,552.45,2388.12,9049.56,1.30,47.73,521.41,2388.09,8133.19,8.4206,0.03,394,2388,100.00,38.98,23.2934
5,80,0.0062,0.0001,100.0,518.67,642.75,1596.86,1403.07,14.62,21.61,553.42,2388.14,9050.38,1.30,47.47,522.17,2388.06,8131.35,8.4119,0.03,394,2388,100.00,38.85,23.2315
5,81,0.0002,0.0001,100.0,518.67,642.24,1586.60,1416.88,14.62,21.61,552.91,2388.14,9048.38,1.30,47.50,521.47,2388.12,8127.65,8.4414,0.03,392,2388,100.00,38.66,23.2260
5,82,0.0001,-0.0002,100.0,518.67,642.75,1586.81,1407.28,14.62,21.61,553.58,2388.13,9058.60,1.30,47.58,521.37,2388.11,8129.80,8.4500,0.03,392,2388,100.00,38.80,23.3433
5,83,0.0052,-0.0001,100.0,518.67,642.35,1594.76,1409.45,14.62,21.61,553.31,2388.12,9053.12,1.30,47.68,521.23,2388.10,8132.93,8.4361,0.03,392,2388,100.00,38.78,23.3046
5,84,-0.0001,-0.0001,100.0,518.67,642.30,1590.15,1411.01,14.62,21.61,553.80,2388.14,9056.89,1.30,47.41,521.10,2388.13,8130.25,8.4543,0.03,394,2388,100.00,38.88,23.1476
5,85,0.0014,-0.0005,100.0,518.67,642.34,1588.80,1413.99,14.62,21.61,554.04,2388.12,9056.48,1.30,47.57,521.43,2388.14,8136.31,8.4333,0.03,395,2388,100.00,38.95,23.2643
5,86,-0.0022,-0.0001,100.0,518.67,642.67,1596.15,1405.24,14.62,21.61,553.53,2388.08,9047.17,1.30,47.66,522.10,2388.09,8131.07,8.4029,0.03,392,2388,100.00,38.78,23.2923
5,87,-0.0005,0.0005,100.0,518.67,642.89,1596.18,1407.59,14.62,21.61,552.92,2388.13,9059.29,1.30,47.72,521.20,2388.16,8132.77,8.4878,0.03,394,2388,100.00,38.88,23.2643
5,88,0.0009,-0.0003,100.0,518.67,643.22,1588.13,1409.51,14.62,21.61,553.08,2388.08,9052.91,1.30,47.45,520.90,2388.12,8129.14,8.4380,0.03,393,2388,100.00,38.75,23.2066
5,89,-0.0009,-0.0004,100.0,518.67,642.70,1592.55,1408.93,14.62,21.61,553.54,2388.10,9053.85,1.30,47.44,521.13,2388.09,8138.98,8.4675,0.03,393,2388,100.00,38.74,23.1726
5,90,-0.0016,-0.0004,100.0,518.67,642.60,1586.65,1414.15,14.62,21.61,553.90,2388.09,9051.08,1.30,47.50,521.26,2388.11,8133.43,8.4580,0.03,395,2388,100.00,38.76,23.2247
5,91,0.0016,0.0000,100.0,518.67,642.60,1593.15,1402.77,14.62,21.61,553.21,2388.13,9052.88,1.30,47.59,521.13,2388.06,8127.95,8.4720,0.03,393,2388,100.00,38.64,23.2456
5,92,0.0016,0.0000,100.0,518.67,642.94,1587.08,1408.19,14.62,21.61,553.90,2388.14,9044.76,1.30,47.52,521.48,2388.14,8130.84,8.4620,0.03,393,2388,100.00,38.75,23.2370
5,93,0.0022,-0.0002,100.0,518.67,642.87,1585.55,1405.57,14.62,21.61,553.96,2388.13,9049.76,1.30,47.60,520.84,2388.16,8128.25,8.4772,0.03,394,2388,100.00,38.80,23.2409
5,94,0.0016,0.0000,100.0,518.67,642.91,1592.41,1406.52,14.62,21.61,553.41,2388.19,9054.39,1.30,47.41,521.14,2388.15,8128.34,8.4377,0.03,393,2388,100.00,38.87,23.1585
5,95,0.0024,0.0005,100.0,518.67,642.90,1589.97,1408.78,14.62,21.61,552.53,2388.10,9047.83,1.30,47.66,520.74,2388.15,8129.61,8.4390,0.03,393,2388,100.00,38.90,23.3577
5,96,0.0012,-0.0002,100.0,518.67,642.71,1592.44,1409.13,14.62,21.61,553.68,2388.12,9054.14,1.30,47.75,520.98,2388.12,8129.47,8.4485,0.03,393,2388,100.00,38.85,23.2262
5,97,-0.0035,-0.0000,100.0,518.67,642.72,1593.08,1415.19,14.62,21.61,552.88,2388.10,9056.30,1.30,47.40,521.45,2388.10,8130.83,8.4217,0.03,394,2388,100.00,38.68,23.3016
5,98,-0.0013,-0.0004,100.0,518.67,642.27,1589.94,1419.36,14.62,21.61,553.29,2388.10,9053.99,1.30,47.46,521.00,2388.15,8125.74,8.4362,0.03,394,2388,100.00,38.75,23.4117
